Start,Finish,Steps,Distance,Weight
7/7/2016 0:00,7/8/2016 0:00,619,0.26162834,
7/8/2016 0:00,7/9/2016 0:00,535,0.229391603,
7/9/2016 0:00,7/10/2016 0:00,2368,1.063066691,
7/10/2016 0:00,7/11/2016 0:00,1161,0.515352839,
7/11/2016 0:00,7/12/2016 0:00,2261,1.058485175,
7/12/2016 0:00,7/13/2016 0:00,493,0.192612642,
7/13/2016 0:00,7/14/2016 0:00,5493,2.440972568,
7/14/2016 0:00,7/15/2016 0:00,3631,1.600084676,
7/15/2016 0:00,7/16/2016 0:00,7196,3.093504922,
7/16/2016 0:00,7/17/2016 0:00,3246,1.467325214,
7/17/2016 0:00,7/18/2016 0:00,3213,1.503978437,
7/18/2016 0:00,7/19/2016 0:00,3521,1.531769046,
7/19/2016 0:00,7/20/2016 0:00,786,0.33061297,
7/20/2016 0:00,7/21/2016 0:00,4908,2.018473913,
7/21/2016 0:00,7/22/2016 0:00,2835,1.279012205,
7/22/2016 0:00,7/23/2016 0:00,4049,1.837942908,
7/23/2016 0:00,7/24/2016 0:00,2685,1.213226322,
7/24/2016 0:00,7/25/2016 0:00,1248,0.549826513,109.2
7/25/2016 0:00,7/26/2016 0:00,935,0.409197785,
7/26/2016 0:00,7/27/2016 0:00,6223,2.787274425,
7/27/2016 0:00,7/28/2016 0:00,2228,1.011887417,
7/28/2016 0:00,7/29/2016 0:00,805,0.342499194,
7/29/2016 0:00,7/30/2016 0:00,3574,1.550351545,
7/30/2016 0:00,7/31/2016 0:00,495,0.224072666,
7/31/2016 0:00,8/1/2016 0:00,1577,0.711041758,
8/1/2016 0:00,8/2/2016 0:00,2510,1.087849684,
8/2/2016 0:00,8/3/2016 0:00,2479,1.076180955,
8/3/2016 0:00,8/4/2016 0:00,2546,1.108685175,
8/4/2016 0:00,8/5/2016 0:00,2920,1.257157804,
8/5/2016 0:00,8/6/2016 0:00,4768,2.057132918,
8/6/2016 0:00,8/7/2016 0:00,4166,1.785206694,
8/7/2016 0:00,8/8/2016 0:00,1785,0.803459751,
8/8/2016 0:00,8/9/2016 0:00,2520,1.078933432,
8/9/2016 0:00,8/10/2016 0:00,3350,1.429326257,
8/10/2016 0:00,8/11/2016 0:00,1137,0.465928975,
8/11/2016 0:00,8/12/2016 0:00,3530,1.496632282,
8/12/2016 0:00,8/13/2016 0:00,2694,1.110901051,
8/13/2016 0:00,8/14/2016 0:00,1492,0.675997845,
8/14/2016 0:00,8/15/2016 0:00,1412,0.655885838,
8/15/2016 0:00,8/16/2016 0:00,969,0.447491682,
8/16/2016 0:00,8/17/2016 0:00,3309,1.407569573,
8/17/2016 0:00,8/18/2016 0:00,2464,1.133515269,
8/18/2016 0:00,8/19/2016 0:00,4867,2.114252946,
8/19/2016 0:00,8/20/2016 0:00,3231,1.350998841,
8/20/2016 0:00,8/21/2016 0:00,10,0.004343385,
8/21/2016 0:00,8/22/2016 0:00,1576,0.724214122,
8/22/2016 0:00,8/23/2016 0:00,3003,1.321747033,
8/23/2016 0:00,8/24/2016 0:00,2969,1.263120037,
8/24/2016 0:00,8/25/2016 0:00,3848,1.665735514,
8/25/2016 0:00,8/26/2016 0:00,2143,0.93643356,
8/26/2016 0:00,8/27/2016 0:00,4961,2.105514063,
8/27/2016 0:00,8/28/2016 0:00,21,0.009370278,
8/28/2016 0:00,8/29/2016 0:00,1438,0.659103686,
8/29/2016 0:00,8/30/2016 0:00,2857,1.270747125,
8/30/2016 0:00,8/31/2016 0:00,3222,1.416268104,
8/31/2016 0:00,9/1/2016 0:00,3202,1.384246645,
9/1/2016 0:00,9/2/2016 0:00,3234,1.411759347,
9/2/2016 0:00,9/3/2016 0:00,3394,1.498668286,
9/3/2016 0:00,9/4/2016 0:00,1115,0.499972209,
